,users,date,location,star,headers,body,fit,product,size,height and weight
92,p d.,11 Oct 2022,United States,5,Even better than the original,I am a huge fan of the original Mission shorts and these are even more comfy with the thinner and more stretchy material.,N/A,Lightweight Mission Short - Stone Blue,30,N/A
93,Keith R.,11 Oct 2022,United States,5,Perfect,"Fit, design, and look are excellent",N/A,Lightweight Mission Short - Stone Blue,34,N/A
94,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
95,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
96,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
97,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
98,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
99,Logan S.,11 Oct 2022,United States,5,Excellent all around shorts,The fit and comfort on these is exceptional. Following the wash instructions and they seem to be holding up great 👍,N/A,Lightweight Mission Short - Slate,30,N/A
100,Gerald K.,10 Oct 2022,United States,5,Best all around,"Seriously the best shorts I’ve ever worn, from working at job sites to jogging to mtn biking and casual outings these are always my first choice. Take my word for it and don’t settle for less because these do it all with maximum comfort and sleek style. Thanks Ornot team!",N/A,Lightweight Mission Short - Slate,30,N/A
101,David,04 Oct 2022,,5,Great fit,"Bought these today and already love them. The fit is just right, they are very versatile too as I can see me wearing them in and off the bike, and casual or more dressy.",N/A,Lightweight Mission Short - Slate,,N/A
102,David,28 Sep 2022,United States,5,Great Update,"I have owned many casual bike shorts, and while I loved my original Mission Shorts, they weren't always the first pair I reached for - something about the material reminded me of school uniforms! Totally excited to get these, and have barely taken them off in a week, biking, hiking and just lounging. Love the colour, the cut and the fabric. Nice deep pockets too. Now we just need a long pant version!",N/A,Lightweight Mission Short - Stone Blue,32,N/A
103,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
104,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
105,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
106,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
107,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
108,David,25 Sep 2022,United States,5,"These are great - definitely lighter weight than the original, but just as good!","These are of course the same design/cut/etc. as the original Mission shorts. The fabric is much lighter weight. They are still just as awesome, just as perfect! Great for hot weather, on and off the bike.",N/A,Lightweight Mission Short - Stone Blue,32,N/A
109,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
110,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
111,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
112,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
113,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
114,Chris K.,18 Jul 2023,United States,5,La Vida Lowcountry,"Wonderful! I did 73 in them this morning. Totally comfortable. I did 91 in another “premium” brand of bibs on Sunday and my undercarriage got wrecked! True story - and painful. Love your product and am ordering more. Chris, Port Royal, South Carolina.",N/A,Men's House Bib Shorts - Black,Large,N/A
115,Brad,29 Jun 2023,United States,5,The best!,"I've had a lot of bibs over the years and these are my favorite. The fit great, perform how they should, and are comfortable on long rides. 

Above all of that, they're made by a company who cares and to me, that's what puts these over the top. They're sewn in California, the brand is 1% for the planet and climate neutral certified, and they're a big part of the cycling community in the bay area. 

There are a lot of options for riding clothes these days, but how many other brands can say the same? Great product made by great people. ",N/A,Men's House Bib Shorts - Black,,N/A
116,Zach,29 Jun 2023,United States,5,Wow!,"I’ve been searching for my go-to bibs for years, and I finally found them. Doesn’t hurt that they look darn good too.",N/A,Men's House Bib Shorts - Mesa,Large,N/A
117,Geoffrey B.,28 Jun 2023,United States,5,Love these bibs!,"I own a few pieces of cold weather gear from Ornot but I live and ride in the desert and these bibs are perfect- with lightweight, breathable back and suspenders, and with the option of colors other than black, I stay as cool as possible. The grippers work and the shammy sham sham is the perfect thickness. It’s obvious that these bibs (and all Ornot gear) are designed and built by actual riders. 
Add to that a chill aesthetic from a conscious company who’s actually trying to make a difference? Sold. I will definitely buy more of these bibs to keep in the rotation.

I mean, you COULD wear shiny black ****** sham heavily branded cheap fast fashion bibs…Ornot.",N/A,Men's House Bib Short - Slate,Medium,N/A
118,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
119,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
120,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
121,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
122,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
123,Jared H.,27 Jun 2023,United States,5,Great Bibs,"These bibs have been excellent since I received them as a gift in December! The material is nicely compressive and the chamois is not too bulky while being dense enough to keep things comfortable -- on long rides, I forget about the bibs entirely. My only minor issue would be that the uppers are a little loose, though the shorts do stay in place. I'm 5'10"" 145 lbs and have a small.",N/A,Men's House Bib Shorts - Mesa,,N/A
124,Jesse L.,27 Jun 2023,United States,5,Really really great shorts,"Had a previous pair of these bibs that I wore regularly for the past... 4 years? maybe more? Finally felt like the chamois was starting to wear thin and the pair I ordered to replace the old ones set to pasture are just as solid and comfortable. Great price, great fit, great company.",N/A,Men's House Bib Shorts - Stone Blue,Medium,N/A
125,Thomas B.,27 Jun 2023,United States,5,Premium feel,"I bought these around 2 years ago. I'm 5'10"" and 235ish and ordered XXL. These are really the most comfortable bibs I own. Super chamois that is properly situated. Great bib color. I was amazed at how light and soft they feel. I do have big legs and over time and many rides the elastic in the legs have tired a bit. I chalk that up to big legs, wear and tear, yet I still wear them. Plus, from the get go they never binded my legs as others have, so no complaint, just informing. I've recommended to other riders and will purchase again. ",N/A,Men's House Bib Shorts - Stone Blue,,N/A
126,Chris,27 Jun 2023,United States,5,A Classic,"I keep returning to the house Jersey and bibs year after year when it's time to replenish my kits. Perfect mix of comfort, performance and value.",N/A,Men's House Bib Shorts - Black,,N/A
127,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
128,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
129,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
130,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
131,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
132,Chris T.,24 Jun 2023,United States,5,Bib Shorts Review,These bib shorts have been a great addition to my cycling wardrobe. They're very comfortable on long rides and the quality of materials is outstanding. The material is just the right weight where it doesn't feel too thick in the summer CA heat nor too cold in the winter brisk mornings. Highly recommend! ,N/A,Men's House Bib Shorts - Black,,N/A
133,Mitch,23 Jun 2023,United States,5,Great all-around bib,"These fit well (fit chart is excellent), the fabric is premium, and the bibs are comfortable for 5+ hour rides.",N/A,Men's House Bib Short - Slate,Small,N/A
134,Alex H.,22 Jun 2023,United States,5,"Great Color, Better Performance","Love the Mesa color. Using these primarily for gravel rides 20-40mi and they are perfect. Chamois is super comfortable and supportive for much longer saddle time but for 2-3 hours at a time no issues and smooth as butter. I was on the edge of Medium to Large (5'11"" and 179lbs) and went with Large and super happy with the fit. ",N/A,Men's House Bib Shorts - Mesa,Large,N/A
135,Thien C.,22 Jun 2023,United States,5,"Comfortable, Durable, Looks Great",Best bibs I own! Got this two years ago and it's held up incredibly. I usually save them for my most anticipated ride any given week because they're the most comfortable and look the best.,N/A,Men's House Bib Shorts - Stone Blue,,N/A
136,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
137,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
138,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
139,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
140,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
141,Matt B.,20 Jun 2023,United States,5,The perfect bib short,I love these bibs. More comfortable than any other brands I've tried. I especially love the slight compression.,N/A,Men's House Bib Shorts - Black,Small,N/A
142,Jason T.,07 Jun 2023,Singapore,5,Great kit Ornot,"Quality is good as expected. Sizing chart is spot on and the workmanship is good. Material is highly breathable but back pockets while large enough for my Lezyne waterproof pack could do with more strengthening. Love the stone blue bibs, it just looks great.",N/A,Men's House Bib Shorts - Stone Blue,Medium,N/A
143,Pete S.,22 May 2023,United States,4,You asked,"I previously bought from your retail store in SF and the padding on the bib I bought was thicker and better than what I purchased online. Therefore I was a disappointed. Are there different paddings available? If so, the online portal did not specify a difference. I loved my first bib whereas this one did not meet my expectations.",N/A,Men's House Bib Short - Slate,Extra Large,N/A
144,Terry S.,22 May 2023,United States,5,House Bibs,"Very comfortable bibs. Elastic on the legs has a nice wide band and holds the legs in place at the knee. Chamois could be a little wider in the front and the suspenders a bit wider, but these are observations not complaints and don’t detract from the overall quality of the product. Definitely will buy another pair. ",N/A,Men's House Bib Short - Slate,Small,N/A
145,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
146,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
147,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
148,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
149,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
150,Rodrigo G.,11 May 2023,United States,5,"5'7""","I'm 5'7"" and the band at the bottom fits me a little loose when standing up but tightens perfectly when I'm on the bike. Comfortable and great color!",N/A,Men's House Bib Shorts - Mesa,Large,N/A
151,Eric S.,02 May 2023,United States,5,The Best Bibs,"These bibs look good, feel good, with it.",N/A,Men's House Bib Shorts - Black,Medium,N/A
152,Richard W.,26 Apr 2023,United States,5,I like them!,"Worn these one time on a 55 mile ride and loved them. Really like the chamois being a little thinner than a lot of brands which I prefer.
Most comfortable I've used based upon initial ride. Hopefully that feeling remains and that they are durable.",N/A,Men's House Bib Shorts - Black,Medium,N/A
153,Alex H.,24 Apr 2023,United States,5,Great Fit and Quality Product,Multiple rides and loving these Bibs. Bought them for a kit matching color and really appreciate the quality and the fit. The Chamois is also top notch for 3-4 hour gravel rides where you need it to be great bouncing around the trails.,N/A,Men's House Bib Shorts - Mesa,Large,N/A
154,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
155,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
156,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
157,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
158,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
